year,place,title,author,categories,pageCount,averageRating,ratingsCount,publishedDate,description
2011,U.S.,Double Cross,James Patterson,Fiction,268.0,5.0,1.0,2011-04-28,"NOW THE INSPIRATION FOR THE ORIGINAL SERIES 'CROSS' ON PRIME VIDEO 'Alex Cross is a legend' HARLAN COBEN 'It's no mystery why James Patterson is the world's most popular thriller writer . . . Simply put: nobody does it better.' JEFFERY DEAVER Just when Alex Cross's life is calming down, he's drawn b"
2007,U.S.,Dreamcatcher,Stephen King,Fiction,764.0,4.0,1.0,2007-10-04,"In Derry, Maine, four young boys once stood together and did a brave thing. Something that changed them in ways they hardly understand. A quarter of a century later, the boys are men who have gone their separate ways. Though they still get together once a year, to go hunting in the north woods of Ma"
2010,U.S.,Dreams Die First,Harold Robbins,Fiction,322.0,,,2010-06-25,"In the late 1960s in California, a down-and-out young man receives control of an underground newspaper from his wealthy uncle and uses that outlet to become a media and entertainment mogul until a ruthless underworld syndicate vows to bring him down."
1982,U.S.,"E.T., The Extraterrestrial",William Kotzwinkle,Fiction,260.0,,,1982,"A boy discovers an extraterrestrial botanist in his mother's vegetable patch, and helps him return to his planet, 3 million light years away."
2011,U.S.,Eleven on Top,Janet Evanovich,Fiction,196.0,,,2011-10-13,"Someone wants to put Stephanie six foot under... Leaving her career as a bounty hunter behind won't be so easy for Stephanie Plum, as disaster follows wherever she goes. Eleven On Top is the hilarious and fast-paced adventure in the Stephanie Plum series by Janet Evanovich, perfect for fans of Sue G"
1996,U.S.,Evening in Byzantium,Irwin Shaw,France,312.0,,,1996,"'They were honest mean and thieves, pimps and panderers and men of virtue. Therewere beautiful women and delicious girls, handsome men with the faces of swines....' 'They were all gamblers in a game with no rules, placing their bets debonairly or in the sweat of fear...' These are some of the charac"
2009,New York,Evergreen,Belva Plain,Fiction,706.0,,,2009-12-16,"“A grand, sweeping panorama . . . richly written, finely detailed . . . vivid and memorable.”—Daily News (New York) Yearning for a better life, Anna Friedman fled Poland for New York at the turn of the century. Finding work as a maid for the Werner family, Anna discovers an elegance beyond her dream"
2007,U.S.,Everything's Eventual: 14 Dark Tales,Stephen King,Fiction,547.0,,,2007-10-04,"A spine-tingling collection of stories from the No. 1 bestselling master of horror - now with a stunning new cover look. Nothing is quite as it seems. Expect the unexpected in this veritable treasure trove of enthralling, witty, dark tales that could only come from the imagination of the greatest st"
1997,U.S.,Executive Orders,Tom Clancy,Fiction,1377.0,3.5,10.0,1997-08-01,"Don't Miss the Original Series Tom Clancy's Jack Ryan Starring John Krasinski! The President is dead. Now, the weight of the world falls on Jack Ryan’s shoulders in this extraordinary #1 New York Times bestseller from Tom Clancy. At the climax of Debt of Honor, the most devastating terrorist act in"
2011,U.S.,Explosive Eighteen,Janet Evanovich,Fiction,321.0,3.0,526.0,2011-11-22,#1 NEW YORK TIMES BESTSELLER • Bounty hunter Stephanie Plum’s life is set to blow sky high when international murder hits dangerously close to home in this dynamite novel by Janet Evanovich. “The most popular mystery writer alive.”—The New York Times Before Stephanie can even step foot off Flight 12
